2.71,20.23,0
2.51,19.46,0
2.36,18.78,0
2.25,18.23,0
2.11,17.83,0
1.91,17.63,0
1.67,17.58,0
1.63,17.4,0
1.84,17.08,0
2.03,16.82,0
2.16,16.62,0
2.09,17.75,15.3
3.13,21.04,96.55
4.04,23.58,201.52
4.43,25.23,292.5
4.65,26.54,318.85
4.8,27.5,329.52
4.87,27.99,344.12
4.89,28.03,316.2
4.99,27.58,247.55
5.05,26.67,156.98
4.51,25.17,62.4
3.12,22.73,4.08
2.96,21.48,0
2.71,20.76,0
2.51,20.19,0
2.37,19.69,0
2.31,19.33,0
2.3,19.17,0
2.31,19.09,0
2.31,18.98,0
2.33,18.97,0
2.34,18.99,0
2.33,18.85,0
2.31,18.67,0
2.25,19.92,15.02
3.25,22.73,93.25
3.86,24.69,188.62
4,26.08,238.65
4.13,27.15,272.65
4.26,27.89,276.5
4.34,28.23,289.12
4.41,28.32,246.6
4.51,27.9,191.75
4.5,27.01,117.38
4.03,25.48,48.15
2.9,22.96,3.8
2.89,21.83,0
2.61,21.11,0
2.28,20.48,0
2.11,19.94,0
1.97,19.49,0
1.71,19.3,0
1.36,19.37,0
1.07,19.48,0
0.94,19.4,0
1.1,19.09,0
1.39,18.59,0
1.69,18,0
1.91,18.83,13.6
2.69,21.58,86.23
3.02,24.11,164.35
2.99,25.88,238.52
2.92,27.29,292.92
2.92,28.33,330.45
3.03,28.94,335.85
3.2,29.11,301.62
3.41,28.76,233.92
3.68,27.87,142.65
3.53,25.77,61.05
3.36,22.37,4.35
3.57,21.07,0
3.16,20.19,0
2.81,19.48,0
2.62,18.92,0
2.45,18.44,0
2.17,18.19,0
1.79,18.27,0
1.64,18.23,0
1.21,18.29,0
0.73,18.52,0
0.41,18.31,0
0.55,17.95,0
0.71,18.05,14.38
0.61,20.33,91.83
1.59,23.51,192.6
2.24,25.41,276.25
2.71,26.85,344.33
3.16,27.91,364.12
3.53,28.46,362.85
3.79,28.5,325.75
4,28.08,254.42
4.15,27.08,164.05
3.79,25.03,66.8
3.22,21.57,4.73
3.41,20.26,0
3.08,19.39,0
2.81,18.66,0
2.6,18.05,0
2.47,17.5,0
2.33,17.08,0
2.11,16.86,0
1.9,16.8,0
1.71,16.65,0
1.61,16.4,0
1.57,16.13,0
1.56,15.87,0
1.5,16.57,15.65
1.88,19.63,107.73
2.84,22.94,214.7
3.23,24.85,301.45
3.33,26.3,347.5
3.44,27.37,362.55
3.53,27.98,354.05
3.63,28.12,322.23
3.77,27.74,263.75
3.86,26.87,175.05
3.47,25.23,79.58
2.62,22.49,5.62
2.88,21.51,0
2.88,20.87,0
2.71,20.3,0
2.52,19.76,0
2.37,19.31,0
2.26,18.96,0
2.12,18.75,0
1.93,18.66,0
1.77,18.54,0
1.66,18.37,0
1.56,18.27,0
1.43,18.21,0
1.22,18.94,17.42
1.27,21.87,113.48
1.95,25.06,219.17
2.5,26.81,307.83
2.58,27.95,370
2.7,28.78,391.73
2.9,29.25,383.33
3.17,29.33,339.2
3.49,28.96,270.6
3.65,28.16,181.6
3.33,26.46,81.62
2.61,23.01,5.88
2.78,21.73,0
2.77,20.99,0
2.72,20.38,0
2.68,19.87,0
2.61,19.38,0
2.49,18.87,0
2.37,18.44,0
2.2,18.14,0
1.92,18.16,0
1.6,18.42,0
1.48,18.53,0
1.36,18.61,0
1.31,19.66,15.9
2.23,22.86,105.92
2.82,25.23,209.65
2.84,27.08,297.6
2.88,28.5,351.55
3.04,29.48,387.17
3.33,30.03,368.23
3.6,30.07,325.42
3.92,29.69,245.08
4.19,28.87,155.02
4.11,27.21,67.1
3.41,24.55,5.48
3.7,23.24,0
3.43,22.44,0
3.05,21.86,0
2.69,21.37,0
2.78,21.26,0
2.68,21.31,0
2.65,21.26,0
2.69,21.24,0
2.56,21.11,0
2.42,20.98,0
2.3,20.8,0
2.26,20.61,0
2.69,21.65,12.15
3.9,23.61,42.25
4.44,25.58,92.17
4.65,27.37,100.83
4.73,28.58,191.23
4.82,29.3,212.6
4.88,29.6,181.38
4.89,29.48,159.38
4.92,28.76,124.38
4.91,27.61,71
4.47,26.15,31.55
3.22,24.22,3.17
3.12,23.25,0
2.92,22.68,0
2.61,22.23,0
2.25,21.82,0
2.13,21.52,0
2.23,21.42,0
2.1,21.23,0
1.94,21.01,0
1.83,20.76,0
1.82,20.48,0
1.81,20.32,0
1.79,20.33,0
1.77,21.34,11.33
2.55,23.4,80.88
3.12,25.47,169
3.35,27.17,256.5
3.67,28.54,307.3
4.03,29.49,375.88
4.32,29.99,372.1
4.5,29.9,318.62
4.6,29.49,257.65
4.63,28.58,171.48
4.37,26.99,76.52
3.46,24.58,6.2
3.4,23.26,0
3.11,22.45,0
2.92,21.84,0
2.54,21.24,0
2.2,20.64,0
2.01,20.11,0
1.92,19.66,0
1.76,19.39,0
1.49,19.42,0
1.32,19.51,0
1.25,19.51,0
1.35,19.26,0
1.45,20.15,15.67
1.89,22.89,103.52
2.75,25.33,194.77
3.42,27.45,297.6
3.86,29.08,366.27
4.07,30.13,396.17
4.22,30.63,391.98
4.45,30.66,353.27
4.72,30.22,280.7
5,29.15,189.17
4.63,27.14,84.58
3.72,23.9,6.83
3.65,22.44,0
3.07,21.45,0
2.74,20.71,0
2.55,20.07,0
2.41,19.44,0
2.32,18.89,0
2.18,18.44,0
2.04,18.15,0
1.92,17.87,0
1.88,17.62,0
1.9,17.32,0
2.03,16.93,0
2.16,18.13,16.75
3.06,21.64,108.67
3.89,24.71,208.23
4.41,26.76,270.9
4.66,28.25,328.35
4.88,29.2,368.17
5.05,29.64,362.98
5.18,29.6,314.02
5.35,29.05,262.83
5.52,27.98,175.27
5.25,26.17,79.48
3.96,23.28,6.95
3.83,21.92,0
3.31,21.08,0
2.83,20.37,0
2.49,19.74,0
2.31,19.22,0
2.2,18.83,0
2.1,18.59,0
2.13,18.39,0
2.31,18.13,0
2.58,18.05,0
2.85,18.11,0
2.9,18.08,0
3.42,19.19,14.6
4.14,22.04,102.75
4.92,24.83,206.52
5.24,26.68,280.58
5.35,28.09,287.35
5.47,29.11,278.75
5.6,29.67,299.35
5.71,29.67,270.9
5.88,29.17,224
5.91,28.11,160.95
5.38,26.36,77.75
3.98,24.12,6.85
3.65,22.79,0
2.89,21.74,0
2.45,21.02,0
2.22,20.54,0
2.15,20.24,0
2.15,20.08,0
2.18,19.83,0
2.18,19.69,0
2.13,19.58,0
2.15,19.37,0
